model,storage_name,caution_empty,caution_notice,condition_unopened,price_unopened,time-scraped
iPhoneXR,iPhoneXR 256GB,,,未開封買取価格,"20,000円",2025-12-02 13:07:47.805894+00:00
iPhoneXs,iPhoneXs 64GB,,,未開封買取価格,"15,000円",2025-12-02 13:07:47.806090+00:00
iPhoneXs,iPhoneXs 256GB,,,未開封買取価格,"18,000円",2025-12-02 13:07:47.806180+00:00
iPhoneXs,iPhoneXs 512GB,,,未開封買取価格,"19,000円",2025-12-02 13:07:47.806269+00:00
iPhoneXs MAX,iPhoneXs MAX 64GB,,,未開封買取価格,"19,000円",2025-12-02 13:07:47.806467+00:00
iPhoneXs MAX,iPhoneXs MAX 256GB,,,未開封買取価格,"22,000円",2025-12-02 13:07:47.806555+00:00
iPhoneXs MAX,iPhoneXs MAX 512GB,,,未開封買取価格,"24,000円",2025-12-02 13:07:47.806648+00:00
iPhoneX,iPhoneX 64GB,,,未開封買取価格,"14,000円",2025-12-02 13:07:47.806822+00:00
iPhoneX,iPhoneX 256GB,,,未開封買取価格,"16,000円",2025-12-02 13:07:47.806907+00:00
iPhone8,iPhone8 64GB,,,未開封買取価格,"8,000円",2025-12-02 13:07:47.807093+00:00
iPhone8,iPhone8 128GB,,,未開封買取価格,"8,000円",2025-12-02 13:07:47.807176+00:00
iPhone8,iPhone8 256GB,,,未開封買取価格,"9,500円",2025-12-02 13:07:47.807257+00:00
iPhone8 Plus,iPhone8 Plus 64GB,,,未開封買取価格,"10,000円",2025-12-02 13:07:47.807442+00:00
iPhone8 Plus,iPhone8 Plus 128GB,,,未開封買取価格,"10,000円",2025-12-02 13:07:47.807529+00:00
iPhone8 Plus,iPhone8 Plus 256GB,,,未開封買取価格,"12,000円",2025-12-02 13:07:47.807612+00:00
iPhone7,iPhone7 32GB,,,未開封買取価格,"4,500円",2025-12-02 13:07:47.807795+00:00
iPhone7,iPhone7 128GB,,,未開封買取価格,"5,500円",2025-12-02 13:07:47.807877+00:00
iPhone7,iPhone7 256GB,,,未開封買取価格,"6,000円",2025-12-02 13:07:47.807959+00:00
iPhone7 Plus,iPhone7 Plus 32GB,,,未開封買取価格,"5,500円",2025-12-02 13:07:47.808144+00:00
iPhone7 Plus,iPhone7 Plus 128GB,,,未開封買取価格,"6,500円",2025-12-02 13:07:47.808228+00:00
iPhone7 Plus,iPhone7 Plus 256GB,,,未開封買取価格,"7,000円",2025-12-02 13:07:47.808311+00:00
